Fecha,Resultados
2012-06-20,9536
2012-06-27,7232
2012-07-04,9201
2012-07-11,8711
2012-07-18,8023
2012-07-25,2732
2012-08-01,1872
2012-08-08,2659
2012-08-15,4640
2012-08-22,6793
2012-08-29,7109
2012-09-05,9195
2012-09-12,6503
2012-09-19,9942
2012-09-26,3997
2012-10-03,6209
2012-10-10,1115
2012-10-17,5360
2012-10-24,2411
2012-10-31,9194
2012-11-07,6495
2012-11-14,9759
2012-11-21,5914
2012-11-28,7893
2012-12-05,1788
2012-12-12,8218
2012-12-19,3932
2012-12-26,1753
2013-01-02,2895
2013-01-09,2574
2013-01-16,6849
2013-01-23,477
2013-01-30,1832
2013-02-06,6200
2013-02-13,67
2013-02-20,9908
2013-02-27,7592
2013-03-06,3432
2013-03-13,6336
2013-03-20,2772
2013-03-27,8603
2013-04-03,7729
2013-04-10,3835
2013-04-17,6567
2013-04-24,2448
2013-05-02,1514
2013-05-08,6342
2013-05-15,7847
2013-05-22,3972
2013-05-29,2810
2013-06-05,7815
2013-06-12,5555
2013-06-19,3315
2013-06-26,9861
2013-07-03,8715
2013-07-10,1368
2013-07-17,5853
2013-07-24,3777
2013-07-31,7454
2013-08-08,3087
2013-08-14,716
2013-08-21,2828
2013-08-28,3592
2013-09-04,3078
2013-09-11,439
2013-09-18,1866
2013-09-25,2520
2013-10-02,9327
2013-10-09,1148
2013-10-16,176
2013-10-23,6404
2013-10-30,2170
2013-11-06,7232
2013-11-13,4446
2013-11-20,1302
2013-11-27,5184
2013-12-04,7552
2013-12-11,3403
2013-12-18,5303
2013-12-26,6366
2014-01-02,5325
2014-01-08,1782
2014-01-15,4186
2014-01-22,7522
2014-01-29,9820
2014-02-05,5570
2014-02-12,3087
2014-02-19,7303
2014-02-26,8034
2014-03-05,1253
2014-03-12,8368
2014-03-19,5011
2014-03-26,5932
2014-04-02,9999
2014-04-09,8008
2014-04-16,2730
2014-04-23,72
2014-04-30,4081
2014-05-07,8538
2014-05-14,23
2014-05-21,7452
2014-05-28,2502
2014-06-04,8961
2014-06-11,9267
2014-06-18,428
2014-06-25,7249
2014-07-02,1293
2014-07-09,7381
2014-07-16,8309
2014-07-23,5723
2014-07-30,4746
2014-08-06,7608
2014-08-13,2661
2014-08-20,4836
2014-08-27,2818
2014-09-03,3119
2014-09-10,8513
2014-09-17,6490
2014-09-24,7630
2014-10-01,8780
2014-10-08,5637
2014-10-15,9511
2014-10-22,4469
2014-10-29,9240
2014-11-05,7095
2014-11-12,1155
2014-11-19,4071
2014-11-26,9269
2014-12-03,5648
2014-12-10,5610
2014-12-17,589
2014-12-24,6409
2014-12-31,7143
2015-01-07,3391
2015-01-14,4062
2015-01-21,2917
2015-01-28,9839
2015-02-04,1692
2015-02-11,7773
2015-02-18,1083
2015-02-25,3639
2015-03-04,6900
2015-03-11,5762
2015-03-18,2975
2015-03-25,5404
2015-04-01,1943
2015-04-08,9898
2015-04-15,1964
2015-04-22,3587
2015-04-29,3192
2015-05-06,2735
2015-05-13,4501
2015-05-20,4824
2015-05-27,9853
2015-06-03,1819
2015-06-10,2451
2015-06-17,8894
2015-06-24,4357
2015-07-01,3386
2015-07-08,7280
2015-07-15,4232
2015-07-22,7371
2015-07-29,8149
2015-08-05,8906
2015-08-12,9862
2015-08-19,7974
2015-08-26,1680
2015-09-02,5118
2015-09-09,4299
2015-09-16,358
2015-09-23,2161
2015-09-30,852
2015-10-07,2003
2015-10-14,6289
2015-10-21,3689
2015-10-28,7461
2015-11-04,1814
2015-11-11,2383
2015-11-18,8604
2015-11-25,3004
2015-12-02,6092
2015-12-09,251
2015-12-16,9862
2015-12-23,9318
2015-12-30,9749
2016-01-06,4590
2016-01-13,4655
2016-01-20,8923
2016-01-27,5504
2016-02-03,5865
2016-02-10,7202
2016-02-17,3013
2016-02-24,8824
2016-03-02,2376
2016-03-09,1271
2016-03-16,3986
2016-03-23,2077
2016-03-30,5935
2016-04-06,4798
2016-04-13,386
2016-04-20,1878
2016-04-27,5364
2016-05-04,2433
2016-05-11,7842
2016-05-18,785
2016-05-25,9209
2016-06-01,6629
2016-06-08,13
2016-06-15,2081
2016-06-22,1266
2016-06-29,8083
2016-07-06,533
2016-07-13,4615
2016-07-21,4534
2016-07-27,3997
2016-08-03,6850
2016-08-10,3043
2016-08-17,9955
2016-08-24,5837
2016-08-31,5813
2016-09-07,8325
2016-09-14,4287
2016-09-21,3463
2016-09-28,6598
2016-10-05,4650
2016-10-12,7327
2016-10-19,9535
