Fecha,Numero,Loteria
1984-10-26,29,Medellín
1984-11-23,327,Medellín
1985-01-11,339,Medellín
1985-01-18,678,Medellín
1985-02-22,559,Medellín
1985-03-05,296,Cruz roja
1985-04-02,582,Cruz roja
1985-05-31,678,Medellín
1985-07-02,955,Cruz roja
1985-10-04,892,Medellín
1985-11-19,516,Cruz roja
1985-11-29,269,Medellín
1985-12-20,302,Medellín
1986-01-03,610,Medellín
1986-01-14,857,Cruz roja
1986-01-21,4,Cruz roja
1986-02-25,415,Cruz roja
1986-03-07,269,Medellín
1986-03-26,287,Medellín
1986-04-08,15,Cruz roja
1986-04-11,955,Medellín
1986-06-03,808,Cruz roja
1986-06-24,71,Cruz roja
1986-07-08,27,Cruz roja
1986-07-15,299,Cruz roja
1986-07-18,830,Medellín
1986-09-05,302,Medellín
1986-09-09,17,Cruz roja
1986-09-12,807,Medellín
1986-09-30,133,Cruz roja
1986-10-07,755,Cruz roja
1986-11-14,317,Medellín
1986-11-28,599,Medellín
1986-12-30,688,Cruz roja
1987-01-06,582,Cruz roja
1987-01-09,543,Medellín
1987-01-20,960,Cruz roja
1987-02-13,88,Medellín
1987-02-17,872,Cruz roja
1987-02-27,273,Medellín
1987-03-17,358,Cruz roja
1987-04-28,517,Cruz roja
1987-05-15,927,Medellín
1987-06-16,666,Cruz roja
1987-07-17,308,Medellín
1987-07-21,572,Cruz roja
1987-08-21,539,Medellín
1987-08-28,954,Medellín
1987-09-08,926,Cruz roja
1987-09-18,610,Medellín
1987-12-18,417,Medellín
1987-12-22,423,Cruz roja
1988-01-05,728,Cruz roja
1988-02-05,71,Medellín
1988-02-09,959,Cruz roja
1988-02-16,808,Cruz roja
1988-03-18,100,Medellín
1988-03-22,404,Cruz roja
1988-04-12,123,Cruz roja
1988-04-29,806,Cash noche
1988-05-01,880,Cash noche
1988-05-06,363,Medellín
1988-05-11,71,Cash noche
1988-05-12,650,Cash noche
1988-05-13,100,Medellín
1988-05-17,278,Cruz roja
1988-05-18,857,Cash noche
1988-05-21,959,Cash noche
1988-05-23,2,Cash noche
1988-05-25,230,Cash noche
1988-05-28,317,Cash noche
1988-06-02,354,Cash noche
1988-06-08,353,Cash noche
1988-06-12,590,Cash noche
1988-06-17,299,Medellín
1988-06-21,323,Cash noche
1988-06-22,560,Cash noche
